,Unnamed: 0,age,sex,education,marriage,occupation,language,ID
112,112,33,1.0,1.0,1.0,2.0,,LLM113
113,113,27,0.0,1.0,1.0,0.0,,LLM114
114,114,35,,1.0,1.0,2.0,0.0,LLM115
115,115,34,1.0,1.0,1.0,2.0,0.0,LLM116
116,116,36,0.0,1.0,1.0,2.0,0.0,LLM117
117,117,36,0.0,1.0,1.0,2.0,0.0,LLM118
118,118,36,0.0,1.0,0.0,2.0,0.0,LLM119
119,119,36,1.0,1.0,1.0,2.0,0.0,LLM120
120,120,35,0.0,1.0,1.0,2.0,0.0,LLM121
121,121,33,1.0,1.0,1.0,2.0,0.0,LLM122
122,122,36,1.0,1.0,1.0,2.0,0.0,LLM123
123,123,35,0.0,1.0,1.0,2.0,0.0,LLM124
124,124,36,0.0,1.0,1.0,2.0,0.0,LLM125
125,125,,,1.0,1.0,2.0,0.0,LLM126
126,126,32,0.0,0.0,1.0,2.0,0.0,LLM127
127,127,65,1.0,0.0,1.0,2.0,,LLM128
128,128,63,0.0,0.0,1.0,2.0,,LLM129
129,129,22,0.0,1.0,1.0,3.0,0.0,LLM130
130,130,24,1.0,0.0,0.0,3.0,,LLM131
131,131,20,1.0,0.0,0.0,3.0,0.0,LLM132
132,132,20,1.0,0.0,1.0,3.0,,LLM133
133,133,22,1.0,0.0,0.0,3.0,,LLM134
134,134,21,,0.0,0.0,1.0,,LLM135
135,135,21,0.0,0.0,0.0,1.0,0.0,LLM136
136,136,24,1.0,0.0,1.0,3.0,0.0,LLM137
137,137,21,0.0,0.0,0.0,3.0,0.0,LLM138
138,138,22,0.0,0.0,1.0,1.0,,LLM139
139,139,27,1.0,0.0,0.0,3.0,0.0,LLM140
140,140,21,1.0,0.0,1.0,1.0,,LLM141
141,141,20,0.0,0.0,1.0,3.0,0.0,LLM142
142,142,24,0.0,1.0,0.0,3.0,0.0,LLM143
143,143,22,0.0,0.0,0.0,3.0,,LLM144
144,144,20,0.0,0.0,0.0,3.0,0.0,LLM145
145,145,23,1.0,0.0,0.0,3.0,0.0,LLM146
146,146,21,0.0,0.0,1.0,3.0,0.0,LLM147
147,147,21,0.0,0.0,1.0,,,LLM148
148,148,28,,1.0,0.0,3.0,0.0,LLM149
149,149,21,0.0,0.0,1.0,,,LLM150
150,150,25,1.0,0.0,1.0,3.0,0.0,LLM151
151,151,20,0.0,0.0,0.0,3.0,,LLM152
152,152,24,0.0,1.0,1.0,3.0,,LLM153
153,153,24,1.0,0.0,1.0,3.0,,LLM154
154,154,22,0.0,1.0,1.0,1.0,,LLM155
155,155,21,0.0,0.0,1.0,1.0,0.0,LLM156
156,156,20,0.0,0.0,0.0,3.0,0.0,LLM157
157,157,21,1.0,0.0,0.0,3.0,,LLM158
158,158,54,1.0,3.0,2.0,2.0,,LLM159
159,159,19,1.0,0.0,0.0,3.0,,LLM160
160,160,87년생 38,1.0,1.0,2.0,3.0,,LLM161
161,161,24,0.0,1.0,1.0,0.0,0.0,LLM162
162,162,21,1.0,0.0,0.0,3.0,,LLM163
163,163,39,1.0,1.0,2.0,2.0,,LLM164
164,164,33,0.0,2.0,0.0,1.0,0.0,LLM165
165,165,30,0.0,1.0,0.0,2.0,0.0,LLM166
166,166,24,1.0,0.0,0.0,1.0,,LLM167
167,167,39,1.0,1.0,2.0,2.0,,LLM168
168,168,31,1.0,1.0,1.0,2.0,0.0,LLM169
169,169,31,0.0,1.0,1.0,2.0,0.0,LLM170
170,170,34,1.0,2.0,0.0,1.0,0.0,LLM171
171,171,34,,1.0,0.0,2.0,,LLM172
172,172,26,0.0,1.0,0.0,0.0,,LLM173
173,173,28,0.0,0.0,1.0,1.0,0.0,LLM174
174,174,39,1.0,1.0,0.0,3.0,0.0,LLM175
175,175,35,0.0,1.0,2.0,3.0,,LLM176
176,176,32,,1.0,1.0,2.0,,LLM177
177,177,20,0.0,0.0,0.0,1.0,,LLM178
178,178,20,0.0,0.0,0.0,1.0,,LLM179
179,179,24,1.0,0.0,0.0,3.0,,LLM180
180,180,33,1.0,1.0,2.0,2.0,,LLM181
181,181,30,0.0,1.0,2.0,2.0,,LLM182
182,182,32,1.0,2.0,2.0,2.0,,LLM183
183,183,29,0.0,0.0,1.0,2.0,,LLM184
184,184,34,0.0,1.0,2.0,2.0,,LLM185
185,185,39세,1.0,1.0,0.0,1.0,,LLM186
186,186,39,0.0,1.0,2.0,3.0,0.0,LLM187
187,187,25,1.0,1.0,0.0,3.0,,LLM188
188,188,29,0.0,1.0,1.0,3.0,,LLM189
189,189,25,1.0,0.0,1.0,3.0,,LLM190
190,190,60,,1.0,2.0,1.0,,LLM191
191,191,38,0.0,1.0,0.0,3.0,,LLM192
192,192,28,1.0,2.0,1.0,0.0,,LLM193
193,193,54,0.0,1.0,2.0,3.0,0.0,LLM194
194,194,46,0.0,2.0,2.0,3.0,,LLM195
195,195,21,1.0,0.0,1.0,3.0,0.0,LLM196
196,196,30,1.0,1.0,1.0,1.0,,LLM197
197,197,31,0.0,1.0,0.0,2.0,,LLM198
198,198,34,0.0,2.0,0.0,2.0,0.0,LLM199
199,199,50,1.0,1.0,2.0,2.0,0.0,LLM200
200,200,49,0.0,1.0,2.0,1.0,,LLM201
201,201,41,1.0,1.0,2.0,2.0,,LLM202
202,202,31,0.0,1.0,0.0,0.0,,LLM203
203,203,29,0.0,1.0,0.0,2.0,,LLM204
204,204,26,1.0,1.0,0.0,2.0,,LLM205
205,205,31,1.0,1.0,0.0,2.0,0.0,LLM206
206,206,21,0.0,0.0,1.0,3.0,0.0,LLM207
207,207,21,1.0,0.0,1.0,3.0,0.0,LLM208
208,208,20세,0.0,0.0,0.0,3.0,0.0,LLM209
