,participant,valence_text,arousal_text,focus_text,dominance_text,arousal_break,text_order
0,LLM022,221,100,-63.0,-219.0,-63.0,51
1,LLM022,66,-169,-147.0,-173.0,-147.0,86
2,LLM022,40,-196,-89.0,-177.0,-89.0,139
3,LLM022,-184,80,-61.0,217.0,-61.0,145
4,LLM022,-70,47,-91.0,119.0,-91.0,149
5,LLM022,-217,114,-67.0,-149.0,-67.0,127
6,LLM022,124,117,-113.0,-100.0,-113.0,117
7,LLM022,217,123,-149.0,-161.0,-10.0,101
8,LLM022,-214,140,-221.0,-114.0,-221.0,148
9,LLM022,214,131,-83.0,-217.0,-83.0,20
10,LLM022,-97,97,-120.0,119.0,-120.0,48
11,LLM022,213,143,-160.0,-196.0,-160.0,54
12,LLM022,-99,101,-86.0,119.0,-126.0,12
13,LLM022,-26,214,-220.0,56.0,-220.0,155
14,LLM022,216,199,-203.0,-206.0,-203.0,135
15,LLM022,-37,39,-90.0,126.0,-90.0,62
16,LLM022,130,94,-97.0,-99.0,-97.0,105
17,LLM022,66,-81,-99.0,-96.0,-117.0,16
18,LLM022,76,-80,-110.0,-103.0,-110.0,77
19,LLM022,-89,77,-100.0,-104.0,-100.0,156
20,LLM022,169,151,-136.0,-119.0,-136.0,9
21,LLM022,220,149,-103.0,-229.0,-103.0,173
22,LLM022,-36,-33,-217.0,201.0,-217.0,11
23,LLM022,-29,31,-100.0,106.0,-100.0,10
24,LLM022,-47,60,-40.0,49.0,-40.0,75
25,LLM022,-47,56,-86.0,71.0,-86.0,159
26,LLM022,140,119,-123.0,-119.0,151.0,59
27,LLM022,233,183,-103.0,-123.0,0.0,115
28,LLM022,66,184,-196.0,-193.0,-196.0,110
29,LLM022,186,199,-173.0,-177.0,-173.0,103
30,LLM022,-137,103,-190.0,194.0,-190.0,123
31,LLM022,-74,66,-80.0,76.0,-80.0,15
32,LLM022,-193,109,-90.0,166.0,-90.0,140
33,LLM022,-230,151,-96.0,214.0,-96.0,97
34,LLM022,-97,91,-97.0,116.0,129.0,161
35,LLM022,149,147,-150.0,-146.0,-150.0,27
36,LLM022,-80,83,-83.0,116.0,-83.0,168
37,LLM022,-71,-67,-53.0,-61.0,-53.0,165
38,LLM022,-51,66,-70.0,69.0,-70.0,52
39,LLM022,114,117,-177.0,-134.0,-177.0,106
40,LLM022,143,129,-157.0,-141.0,-159.0,56
41,LLM022,150,131,-169.0,-136.0,-169.0,29
42,LLM022,-77,64,-59.0,49.0,-213.0,129
43,LLM022,-211,103,-153.0,153.0,-153.0,42
44,LLM022,-86,80,-90.0,116.0,-90.0,44
45,LLM022,230,163,-136.0,-223.0,-136.0,0
46,LLM022,200,173,-146.0,-160.0,-146.0,133
47,LLM022,221,140,-97.0,-233.0,-97.0,112
48,LLM022,-110,104,-126.0,137.0,-126.0,169
49,LLM022,-120,116,-136.0,127.0,-129.0,96
50,LLM022,-54,63,-44.0,-46.0,-44.0,99
51,LLM022,201,131,-114.0,-113.0,-114.0,100
52,LLM022,124,-140,-126.0,-116.0,-126.0,89
53,LLM022,-134,117,-124.0,131.0,-124.0,98
54,LLM022,-59,56,-61.0,-64.0,-61.0,74
55,LLM022,80,84,-96.0,-113.0,-96.0,108
56,LLM022,109,121,-116.0,-114.0,-116.0,102
57,LLM022,87,-164,-114.0,-100.0,-114.0,80
58,LLM022,-124,119,-211.0,54.0,-169.0,144
59,LLM022,-31,63,-44.0,-54.0,-44.0,19
60,LLM022,177,160,-120.0,-131.0,71.0,179
61,LLM022,66,-73,-77.0,-90.0,-77.0,82
62,LLM022,-44,40,-39.0,41.0,-39.0,38
63,LLM022,176,151,-113.0,-121.0,-113.0,4
64,LLM022,54,-56,-60.0,-50.0,-60.0,63
65,LLM022,129,123,-119.0,-136.0,-119.0,26
66,LLM022,180,181,-171.0,-159.0,94.0,7
67,LLM022,-84,97,-114.0,-141.0,-114.0,141
68,LLM022,111,109,-96.0,-90.0,-96.0,107
69,LLM022,119,117,-136.0,-124.0,-136.0,109
70,LLM022,177,-174,-179.0,-161.0,-179.0,137
71,LLM022,187,190,-214.0,-131.0,-214.0,8
72,LLM022,-23,29,-24.0,-23.0,-86.0,64
73,LLM022,67,71,-87.0,-69.0,-87.0,114
74,LLM022,116,100,-94.0,-101.0,-94.0,170
75,LLM022,66,-60,-94.0,-84.0,-94.0,13
76,LLM022,-109,110,-133.0,139.0,-133.0,36
77,LLM022,-50,57,-61.0,61.0,-61.0,94
78,LLM022,-107,94,-129.0,109.0,-129.0,121
79,LLM022,-109,119,-151.0,133.0,0.0,120
80,LLM022,-196,116,-126.0,224.0,-126.0,150
81,LLM022,-200,173,-189.0,191.0,-189.0,47
82,LLM022,-179,177,-189.0,191.0,-189.0,152
83,LLM022,149,137,-127.0,-129.0,-127.0,1
84,LLM022,-77,89,-80.0,97.0,-153.0,18
85,LLM022,53,47,-44.0,-49.0,-44.0,30
86,LLM022,-44,43,-37.0,-46.0,-37.0,14
87,LLM022,-159,147,-146.0,144.0,-146.0,146
88,LLM022,-90,91,-111.0,91.0,-111.0,61
89,LLM022,117,-129,-133.0,-114.0,-86.0,81
90,LLM022,-51,-44,-93.0,79.0,-93.0,153
91,LLM022,-119,119,-147.0,131.0,-147.0,78
92,LLM022,-120,123,-146.0,136.0,-150.0,164
93,LLM022,153,139,-144.0,-127.0,-144.0,104
94,LLM022,-141,141,-134.0,136.0,-134.0,122
95,LLM022,177,149,-123.0,-137.0,-123.0,23
96,LLM022,-73,66,-127.0,120.0,-21.0,45
97,LLM022,-46,44,-60.0,73.0,-60.0,71
98,LLM022,-139,137,-169.0,104.0,63.0,166
99,LLM022,-159,154,-183.0,203.0,-119.0,126
100,LLM022,209,201,-209.0,-194.0,-209.0,2
101,LLM022,60,100,-119.0,131.0,-119.0,160
102,LLM022,-43,46,-49.0,56.0,-49.0,69
103,LLM022,123,123,-136.0,-137.0,-136.0,55
104,LLM022,-39,27,-40.0,43.0,-40.0,66
105,LLM022,89,91,-106.0,110.0,-123.0,25
106,LLM022,-164,160,-183.0,146.0,-183.0,124
107,LLM022,-229,230,-213.0,226.0,-213.0,37
108,LLM022,226,229,-187.0,-179.0,-187.0,174
109,LLM022,-121,119,-129.0,121.0,-129.0,162
110,LLM022,120,-134,-146.0,-144.0,-146.0,132
111,LLM022,173,154,-169.0,-134.0,-169.0,28
112,LLM022,164,-176,-124.0,-126.0,-124.0,85
113,LLM022,173,187,-141.0,-129.0,-141.0,119
114,LLM022,-51,74,-163.0,160.0,-91.0,65
115,LLM022,140,-153,-124.0,-127.0,-124.0,84
116,LLM022,164,171,-141.0,-139.0,-141.0,172
117,LLM022,-117,114,-121.0,120.0,-121.0,39
118,LLM022,-77,79,-90.0,101.0,-90.0,46
119,LLM022,-184,177,-166.0,153.0,7.0,92
120,LLM022,-133,129,-126.0,-121.0,-126.0,91
121,LLM022,159,126,-161.0,-140.0,-161.0,178
122,LLM022,119,131,-139.0,-146.0,-139.0,50
123,LLM022,154,136,-151.0,-149.0,110.0,21
124,LLM022,-31,34,-134.0,131.0,-134.0,154
125,LLM022,100,-123,-117.0,-137.0,-117.0,134
126,LLM022,169,123,-151.0,-150.0,-151.0,176
127,LLM022,-120,116,-96.0,110.0,-96.0,76
128,LLM022,150,124,-136.0,-126.0,121.0,22
129,LLM022,156,126,-151.0,-131.0,-151.0,177
130,LLM022,130,121,-141.0,-127.0,-141.0,138
131,LLM022,153,-161,-161.0,-171.0,-53.0,130
132,LLM022,-163,150,-174.0,171.0,-174.0,142
133,LLM022,87,84,-91.0,-104.0,-91.0,95
134,LLM022,-114,-84,-76.0,-80.0,-76.0,41
135,LLM022,-104,110,-101.0,97.0,-101.0,157
136,LLM022,-79,-61,-71.0,-70.0,0.0,17
137,LLM022,-33,40,-121.0,-117.0,-84.0,68
138,LLM022,-200,189,-184.0,186.0,-184.0,125
139,LLM022,-114,126,-123.0,-123.0,-123.0,73
140,LLM022,-76,79,-89.0,69.0,-240.0,35
141,LLM022,-26,29,-30.0,29.0,-30.0,67
142,LLM022,-69,66,-60.0,70.0,109.0,163
143,LLM022,-149,153,-124.0,-126.0,-124.0,93
144,LLM022,196,186,-194.0,-201.0,-194.0,175
145,LLM022,180,183,-137.0,-144.0,-137.0,6
146,LLM022,214,154,-134.0,-226.0,-134.0,136
147,LLM022,221,210,-123.0,-213.0,-123.0,118
148,LLM022,-94,91,-150.0,117.0,-150.0,128
149,LLM022,-66,74,-107.0,99.0,91.0,167
150,LLM022,-177,164,-149.0,-124.0,0.0,158
151,LLM022,183,173,-147.0,-164.0,-147.0,113
152,LLM022,-134,117,-107.0,-143.0,-107.0,147
153,LLM022,-114,119,-137.0,139.0,-137.0,40
154,LLM022,137,-144,-131.0,-146.0,-131.0,83
155,LLM022,127,124,-123.0,-140.0,-123.0,57
156,LLM022,-30,39,-44.0,-44.0,-44.0,60
157,LLM022,190,197,-180.0,-171.0,-180.0,116
158,LLM022,-149,139,-221.0,-47.0,-221.0,70
159,LLM022,189,160,-79.0,-190.0,-79.0,53
160,LLM022,180,141,-139.0,-130.0,-139.0,5
161,LLM022,149,156,-147.0,-150.0,123.0,171
162,LLM022,-121,110,-134.0,140.0,-134.0,79
163,LLM022,-134,113,-136.0,147.0,-136.0,143
164,LLM022,163,141,-120.0,-127.0,-120.0,111
165,LLM022,80,-186,-133.0,-116.0,-133.0,87
166,LLM022,157,171,-77.0,-223.0,-77.0,24
167,LLM022,60,-69,-69.0,-57.0,-69.0,49
168,LLM022,-127,120,-107.0,-147.0,-107.0,90
169,LLM022,-69,81,-83.0,87.0,-83.0,32
170,LLM022,87,99,-87.0,-89.0,-87.0,3
171,LLM022,161,163,-194.0,-156.0,-194.0,131
172,LLM022,-189,166,-130.0,-117.0,-130.0,33
173,LLM022,-193,151,-199.0,77.0,-199.0,151
174,LLM022,134,166,-120.0,-123.0,-120.0,58
175,LLM022,-120,113,-126.0,121.0,-126.0,31
176,LLM022,64,-170,-106.0,-109.0,-106.0,88
177,LLM022,-86,93,-80.0,-93.0,0.0,72
178,LLM022,-119,121,-139.0,127.0,-139.0,34
179,LLM022,-101,100,-129.0,127.0,-129.0,43
180,LLM083,77,-250,-234.0,-214.0,-234.0,178
181,LLM083,-191,154,158.0,-250.0,158.0,72
182,LLM083,55,-172,-162.0,-247.0,-162.0,14
183,LLM083,-247,150,194.0,-247.0,194.0,94
184,LLM083,47,-208,-202.0,140.0,-202.0,105
185,LLM083,1,148,-107.0,-4.0,-107.0,71
186,LLM083,2,-244,-237.0,-249.0,-237.0,136
187,LLM083,-238,217,247.0,-246.0,247.0,121
188,LLM083,-211,172,220.0,-229.0,220.0,19
189,LLM083,-238,236,248.0,-249.0,248.0,169
190,LLM083,-108,2,0.0,-248.0,0.0,13
191,LLM083,117,-250,-247.0,-246.0,-247.0,135
192,LLM083,-130,155,196.0,-247.0,83.0,68
193,LLM083,-160,136,202.0,-249.0,202.0,69
194,LLM083,154,-58,-215.0,56.0,-215.0,7
195,LLM083,35,-246,-241.0,-148.0,-241.0,110
196,LLM083,34,-153,-96.0,-226.0,-96.0,28
197,LLM083,203,-202,-235.0,-234.0,-238.0,104
198,LLM083,-237,168,247.0,-191.0,247.0,96
199,LLM083,53,-247,172.0,-244.0,172.0,87
200,LLM083,-207,171,243.0,-249.0,243.0,30
201,LLM083,119,-250,-250.0,-248.0,0.0,23
202,LLM083,-184,148,220.0,-249.0,220.0,141
203,LLM083,-232,212,250.0,-143.0,0.0,163
204,LLM083,132,-247,-250.0,-2.0,-250.0,1
205,LLM083,116,-184,-241.0,46.0,-241.0,27
206,LLM083,193,-249,-240.0,233.0,-168.0,100
207,LLM083,17,-229,-209.0,-157.0,-209.0,103
208,LLM083,220,-214,-196.0,-3.0,-196.0,5
209,LLM083,19,-250,-231.0,218.0,-231.0,132
210,LLM083,-88,110,245.0,-142.0,245.0,67
211,LLM083,172,-116,-118.0,247.0,-118.0,108
212,LLM083,10,-168,-222.0,2.0,-222.0,130
213,LLM083,64,166,-222.0,-154.0,-222.0,25
214,LLM083,-199,168,247.0,2.0,169.0,148
215,LLM083,-250,223,241.0,-244.0,241.0,79
216,LLM083,-59,52,-1.0,-43.0,-1.0,35
217,LLM083,5,-244,116.0,-238.0,116.0,81
218,LLM083,-1,26,120.0,-1.0,120.0,66
219,LLM083,-138,126,249.0,-160.0,249.0,78
220,LLM083,-239,242,248.0,-247.0,248.0,128
221,LLM083,-247,243,249.0,-250.0,249.0,40
222,LLM083,207,234,-245.0,-243.0,213.0,179
223,LLM083,-42,145,201.0,-51.0,191.0,45
224,LLM083,-10,191,194.0,-108.0,194.0,39
225,LLM083,-4,163,144.0,-190.0,144.0,129
226,LLM083,-193,-2,84.0,-241.0,84.0,64
227,LLM083,127,177,-201.0,-219.0,-201.0,4
228,LLM083,2,174,200.0,-229.0,200.0,162
229,LLM083,-31,226,56.0,-244.0,161.0,10
230,LLM083,0,-17,-10.0,-238.0,-10.0,89
231,LLM083,-37,161,184.0,-208.0,184.0,16
232,LLM083,-195,218,196.0,209.0,196.0,36
233,LLM083,-232,226,244.0,247.0,244.0,126
234,LLM083,-229,149,235.0,-241.0,235.0,97
235,LLM083,23,126,158.0,-245.0,158.0,114
236,LLM083,-79,49,77.0,-235.0,77.0,153
237,LLM083,143,-160,-28.0,-169.0,-28.0,133
238,LLM083,-200,119,158.0,-242.0,-43.0,75
239,LLM083,112,-113,-22.0,-236.0,-22.0,171
240,LLM083,190,-127,-232.0,-1.0,-232.0,2
241,LLM083,231,-150,-183.0,-3.0,-183.0,175
242,LLM083,-220,170,234.0,233.0,234.0,154
243,LLM083,118,-202,-225.0,-236.0,-225.0,3
244,LLM083,-229,221,227.0,221.0,227.0,157
245,LLM083,234,242,-230.0,-247.0,-230.0,118
246,LLM083,-229,-177,188.0,-241.0,188.0,65
247,LLM083,81,-235,-63.0,-249.0,-63.0,80
248,LLM083,151,196,-151.0,-235.0,-151.0,115
249,LLM083,137,-202,-214.0,-234.0,-214.0,131
250,LLM083,149,188,-199.0,-240.0,-199.0,177
251,LLM083,-28,230,-1.0,-234.0,-1.0,60
252,LLM083,2,191,-237.0,-246.0,197.0,50
253,LLM083,191,-140,-166.0,-224.0,-166.0,6
254,LLM083,-230,185,227.0,-243.0,227.0,166
255,LLM083,-112,245,-38.0,-204.0,-38.0,92
256,LLM083,-5,-96,-79.0,-233.0,-79.0,20
257,LLM083,21,-220,-228.0,-139.0,-228.0,138
258,LLM083,58,-235,-229.0,-223.0,-229.0,134
259,LLM083,-241,132,238.0,134.0,238.0,31
260,LLM083,-124,210,207.0,3.0,207.0,144
261,LLM083,-1,-202,-175.0,-3.0,-175.0,109
262,LLM083,-103,92,130.0,-4.0,130.0,160
263,LLM083,-148,105,227.0,-4.0,227.0,159
264,LLM083,237,206,-86.0,218.0,96.0,112
265,LLM083,-232,121,236.0,-121.0,236.0,48
266,LLM083,-248,137,241.0,82.0,241.0,140
267,LLM083,-180,244,-217.0,-1.0,-217.0,156
268,LLM083,-197,21,-46.0,-241.0,12.0,158
269,LLM083,-113,223,239.0,-229.0,239.0,91
270,LLM083,207,179,-167.0,-205.0,-167.0,53
271,LLM083,-225,87,165.0,-5.0,165.0,155
272,LLM083,4,-204,-8.0,4.0,-211.0,88
273,LLM083,-246,125,-155.0,-241.0,-155.0,47
274,LLM083,12,200,-109.0,-244.0,-109.0,52
275,LLM083,2,131,-103.0,-95.0,-103.0,61
276,LLM083,59,124,-148.0,137.0,-148.0,101
277,LLM083,-223,166,245.0,4.0,245.0,143
278,LLM083,-244,244,239.0,238.0,239.0,120
279,LLM083,-220,216,250.0,77.0,214.0,127
280,LLM083,-110,29,243.0,-24.0,243.0,62
281,LLM083,0,-19,-21.0,-26.0,-21.0,145
282,LLM083,-134,-4,89.0,4.0,89.0,147
283,LLM083,-248,105,247.0,-155.0,247.0,95
284,LLM083,-204,34,244.0,-154.0,244.0,63
285,LLM083,-82,174,101.0,-214.0,75.0,44
286,LLM083,-16,-214,192.0,-238.0,192.0,85
287,LLM083,-169,113,209.0,-199.0,209.0,165
288,LLM083,-2,232,150.0,-1.0,150.0,119
289,LLM083,-6,73,-46.0,206.0,-46.0,102
290,LLM083,-28,225,122.0,-242.0,122.0,99
291,LLM083,-250,121,247.0,-61.0,247.0,146
292,LLM083,-205,79,246.0,-239.0,246.0,15
293,LLM083,-221,121,237.0,-49.0,237.0,32
294,LLM083,36,79,22.0,2.0,-87.0,54
295,LLM083,0,176,155.0,-109.0,155.0,117
296,LLM083,-183,153,131.0,-240.0,131.0,161
297,LLM083,-249,139,190.0,-248.0,190.0,149
298,LLM083,2,-246,185.0,-248.0,185.0,84
299,LLM083,-243,241,245.0,-247.0,245.0,152
300,LLM083,-26,23,130.0,-82.0,130.0,122
301,LLM083,-4,-229,5.0,-243.0,5.0,83
302,LLM083,-185,110,236.0,-240.0,236.0,73
303,LLM083,97,152,-148.0,152.0,-154.0,8
304,LLM083,-248,81,235.0,-247.0,235.0,93
305,LLM083,-244,245,242.0,235.0,242.0,42
306,LLM083,247,-146,-240.0,-2.0,-240.0,0
307,LLM083,-1,-241,-160.0,-245.0,-160.0,59
308,LLM083,86,-187,-185.0,-186.0,-223.0,170
309,LLM083,24,-215,-163.0,-164.0,-163.0,174
310,LLM083,2,-139,-155.0,-202.0,-155.0,55
311,LLM083,-1,-56,-68.0,-172.0,-68.0,11
312,LLM083,-187,155,154.0,-246.0,154.0,43
313,LLM083,167,-79,-176.0,-247.0,-176.0,24
314,LLM083,-135,240,124.0,-225.0,124.0,90
315,LLM083,-247,200,200.0,-247.0,200.0,37
316,LLM083,0,-219,-117.0,-241.0,-117.0,173
317,LLM083,-117,185,246.0,-84.0,246.0,125
318,LLM083,-109,248,249.0,2.0,249.0,150
319,LLM083,-187,248,247.0,64.0,247.0,123
320,LLM083,-9,26,40.0,-131.0,40.0,33
321,LLM083,5,-229,-112.0,-244.0,-112.0,86
322,LLM083,3,-191,-156.0,-172.0,-100.0,26
323,LLM083,-110,248,249.0,-112.0,249.0,76
324,LLM083,23,196,-67.0,-241.0,-67.0,58
325,LLM083,-244,110,204.0,-154.0,204.0,41
326,LLM083,54,-161,-168.0,-169.0,-168.0,172
327,LLM083,4,-222,-244.0,-164.0,-244.0,139
328,LLM083,119,-223,-216.0,-222.0,-216.0,56
329,LLM083,-240,189,240.0,-107.0,51.0,49
330,LLM083,-63,-3,44.0,-58.0,44.0,167
331,LLM083,-5,-4,-4.0,22.0,-4.0,168
332,LLM083,-193,-1,219.0,-136.0,219.0,74
333,LLM083,-239,91,210.0,-217.0,210.0,164
334,LLM083,-24,-2,170.0,-87.0,170.0,22
335,LLM083,180,92,115.0,222.0,115.0,113
336,LLM083,-64,192,128.0,-233.0,128.0,46
337,LLM083,-180,-133,144.0,-192.0,144.0,12
338,LLM083,-5,-233,-228.0,-208.0,-228.0,137
339,LLM083,-207,-229,-12.0,-190.0,-12.0,116
340,LLM083,-102,-61,113.0,-75.0,113.0,57
341,LLM083,-226,115,214.0,-64.0,80.0,34
342,LLM083,-86,66,197.0,-55.0,197.0,124
343,LLM083,-214,30,174.0,-85.0,174.0,70
344,LLM083,-175,162,101.0,-220.0,101.0,176
345,LLM083,0,-223,-214.0,-241.0,-214.0,21
346,LLM083,85,-202,-123.0,82.0,-123.0,29
347,LLM083,73,-181,-52.0,216.0,-52.0,106
348,LLM083,0,-241,73.0,-244.0,73.0,82
349,LLM083,-28,-214,-26.0,-61.0,-26.0,77
350,LLM083,4,-190,-16.0,145.0,-16.0,107
351,LLM083,-214,-60,215.0,-226.0,215.0,18
352,LLM083,-169,-93,149.0,-196.0,149.0,17
353,LLM083,6,136,167.0,112.0,167.0,38
354,LLM083,112,94,94.0,11.0,94.0,142
355,LLM083,-242,149,246.0,-2.0,246.0,151
356,LLM083,-245,100,246.0,-153.0,246.0,98
357,LLM083,250,-36,-157.0,-247.0,-157.0,9
358,LLM083,245,131,172.0,-1.0,172.0,111
359,LLM083,68,174,-142.0,-235.0,-142.0,51
360,LLM099,38,119,-126.0,18.0,-126.0,113
361,LLM099,-211,127,-139.0,-105.0,-139.0,152
362,LLM099,-18,3,-180.0,34.0,-180.0,160
363,LLM099,32,38,-127.0,19.0,-127.0,117
364,LLM099,-31,60,-129.0,69.0,-129.0,165
365,LLM099,-72,33,-123.0,-25.0,0.0,68
366,LLM099,55,42,-142.0,-27.0,-142.0,53
367,LLM099,106,-153,-33.0,-225.0,-33.0,87
368,LLM099,-12,-1,-64.0,119.0,-64.0,40
369,LLM099,-160,-43,30.0,-187.0,30.0,94
370,LLM099,-82,-16,-57.0,138.0,-57.0,156
371,LLM099,34,15,-109.0,-129.0,-109.0,4
372,LLM099,134,15,-58.0,-169.0,84.0,119
373,LLM099,236,-55,65.0,-249.0,65.0,23
374,LLM099,-81,36,-79.0,125.0,-79.0,41
375,LLM099,-186,-112,38.0,-126.0,38.0,19
376,LLM099,113,15,-7.0,117.0,-7.0,118
377,LLM099,-1,-1,-79.0,-1.0,-120.0,114
378,LLM099,-211,163,150.0,-214.0,150.0,127
379,LLM099,117,-156,96.0,-241.0,96.0,83
380,LLM099,-162,161,104.0,-199.0,104.0,128
381,LLM099,-87,15,21.0,-88.0,21.0,67
382,LLM099,-76,-7,27.0,-102.0,27.0,14
383,LLM099,19,34,-79.0,14.0,-79.0,176
384,LLM099,-82,14,-60.0,44.0,-60.0,31
385,LLM099,152,48,-31.0,-199.0,-31.0,3
386,LLM099,167,65,113.0,-228.0,-43.0,6
387,LLM099,57,55,0.0,2.0,0.0,112
388,LLM099,45,-4,-13.0,-1.0,-13.0,24
389,LLM099,-9,12,-66.0,41.0,-66.0,30
390,LLM099,-241,152,146.0,-208.0,146.0,148
391,LLM099,-129,105,176.0,-238.0,176.0,90
392,LLM099,60,-13,65.0,-186.0,65.0,137
393,LLM099,-1,6,-52.0,44.0,-52.0,159
394,LLM099,-207,32,-66.0,-4.0,-79.0,142
395,LLM099,131,-10,-88.0,-234.0,-88.0,173
396,LLM099,-117,-13,-63.0,80.0,-63.0,78
397,LLM099,156,-18,7.0,-228.0,0.0,7
398,LLM099,-147,-6,-33.0,24.0,-33.0,65
399,LLM099,-40,6,-94.0,-3.0,-94.0,161
400,LLM099,29,9,-72.0,-25.0,-72.0,178
401,LLM099,-127,201,162.0,-141.0,162.0,98
402,LLM099,-79,127,93.0,30.0,-118.0,163
403,LLM099,73,-15,-120.0,27.0,-120.0,8
404,LLM099,65,-85,-42.0,-171.0,-42.0,135
405,LLM099,-174,51,48.0,36.0,48.0,37
406,LLM099,-9,0,-13.0,22.0,-13.0,74
407,LLM099,83,17,-78.0,-27.0,0.0,22
408,LLM099,-87,24,-24.0,66.0,-24.0,38
409,LLM099,15,-111,24.0,3.0,-61.0,81
410,LLM099,-81,170,41.0,-226.0,41.0,93
411,LLM099,38,-124,27.0,-228.0,27.0,133
412,LLM099,15,-94,41.0,-165.0,41.0,132
413,LLM099,-142,222,171.0,-78.0,171.0,97
414,LLM099,-202,185,122.0,-24.0,122.0,145
415,LLM099,-192,201,146.0,-186.0,146.0,151
416,LLM099,68,-36,17.0,-139.0,17.0,134
417,LLM099,71,30,18.0,-61.0,18.0,9
418,LLM099,-154,96,117.0,-33.0,-61.0,143
419,LLM099,-159,80,93.0,-49.0,93.0,91
420,LLM099,-57,53,34.0,-52.0,34.0,75
421,LLM099,-189,-13,-16.0,33.0,-16.0,154
422,LLM099,-82,15,-33.0,27.0,-33.0,77
423,LLM099,137,-49,-37.0,-130.0,-37.0,86
424,LLM099,-138,27,-7.0,-58.0,-7.0,123
425,LLM099,-87,-19,-34.0,49.0,-34.0,153
426,LLM099,-156,0,-70.0,55.0,-70.0,150
427,LLM099,47,-6,-58.0,-118.0,-58.0,170
428,LLM099,110,-54,21.0,-229.0,21.0,89
429,LLM099,27,39,11.0,-31.0,11.0,116
430,LLM099,-105,21,-72.0,3.0,-72.0,162
431,LLM099,-49,-15,-30.0,44.0,-30.0,10
432,LLM099,-79,0,12.0,24.0,-27.0,129
433,LLM099,-123,94,-24.0,-51.0,-24.0,96
434,LLM099,-49,22,0.0,3.0,0.0,62
435,LLM099,33,24,-40.0,-52.0,-40.0,54
436,LLM099,113,-25,65.0,-88.0,65.0,82
437,LLM099,80,22,32.0,-129.0,32.0,59
438,LLM099,49,12,-10.0,-120.0,-10.0,2
439,LLM099,-25,17,-4.0,-3.0,-4.0,39
440,LLM099,30,-1,-4.0,-16.0,-4.0,1
441,LLM099,-39,3,7.0,0.0,7.0,61
442,LLM099,18,-3,-1.0,-37.0,-1.0,51
443,LLM099,81,9,-15.0,-108.0,-15.0,0
444,LLM099,-63,26,33.0,-54.0,-28.0,42
445,LLM099,-30,24,-84.0,98.0,-84.0,49
446,LLM099,92,26,-69.0,18.0,-69.0,20
447,LLM099,59,-15,-28.0,-141.0,-28.0,52
448,LLM099,108,19,-15.0,-196.0,-15.0,174
449,LLM099,-102,32,53.0,-139.0,53.0,124
450,LLM099,17,-9,-15.0,15.0,-15.0,103
451,LLM099,-121,53,-49.0,-21.0,0.0,45
452,LLM099,-73,42,71.0,-66.0,-13.0,95
453,LLM099,-58,-9,-24.0,29.0,-24.0,12
454,LLM099,-42,30,-54.0,-3.0,-54.0,44
455,LLM099,19,-184,-145.0,-33.0,-145.0,131
456,LLM099,15,-145,-30.0,-28.0,-30.0,80
457,LLM099,-66,102,-51.0,-28.0,-51.0,99
458,LLM099,-34,33,15.0,-43.0,0.0,92
459,LLM099,-37,33,-10.0,15.0,-28.0,141
460,LLM099,39,30,-93.0,-87.0,-93.0,50
461,LLM099,49,51,-42.0,-178.0,0.0,179
462,LLM099,-73,39,39.0,11.0,39.0,73
463,LLM099,59,-13,-21.0,36.0,-21.0,107
464,LLM099,7,-30,-51.0,-58.0,-51.0,138
465,LLM099,11,-39,-36.0,-73.0,9.0,106
466,LLM099,-40,9,-99.0,24.0,-99.0,47
467,LLM099,-43,19,-91.0,42.0,-91.0,66
468,LLM099,22,-3,-63.0,-31.0,-63.0,21
469,LLM099,22,-147,7.0,-213.0,7.0,84
470,LLM099,-138,60,-93.0,-1.0,-93.0,169
471,LLM099,-78,-12,-102.0,-39.0,-102.0,140
472,LLM099,-211,182,94.0,-214.0,0.0,120
473,LLM099,-54,-12,26.0,-67.0,-39.0,17
474,LLM099,-66,15,-25.0,-40.0,-19.0,35
475,LLM099,-55,18,-33.0,-48.0,-33.0,71
476,LLM099,42,29,-13.0,-93.0,-13.0,110
477,LLM099,63,27,18.0,-94.0,18.0,104
478,LLM099,-34,29,-46.0,30.0,-46.0,70
479,LLM099,22,-91,-25.0,-49.0,-25.0,85
480,LLM099,-31,0,-49.0,15.0,-49.0,164
481,LLM099,129,-7,-39.0,-226.0,-39.0,139
482,LLM099,-87,-4,-94.0,-90.0,-108.0,166
483,LLM099,44,-6,-46.0,-76.0,-13.0,25
484,LLM099,89,-18,-12.0,-75.0,-103.0,130
485,LLM099,15,2,-31.0,18.0,-31.0,172
486,LLM099,-16,-12,-6.0,2.0,-6.0,18
487,LLM099,-46,-18,11.0,-60.0,11.0,147
488,LLM099,27,62,29.0,-60.0,33.0,111
489,LLM099,-115,80,-48.0,-6.0,-48.0,157
490,LLM099,-112,18,87.0,-138.0,87.0,125
491,LLM099,33,53,-61.0,-45.0,-91.0,56
492,LLM099,12,-63,19.0,-61.0,19.0,88
493,LLM099,-28,22,27.0,-25.0,27.0,48
494,LLM099,-57,-22,11.0,-12.0,11.0,79
495,LLM099,-30,2,17.0,5.0,17.0,76
496,LLM099,-37,2,14.0,-6.0,14.0,16
497,LLM099,-18,34,53.0,7.0,53.0,149
498,LLM099,-57,113,-54.0,-54.0,-54.0,126
499,LLM099,19,-1,-9.0,-49.0,-9.0,108
